"","Rings","SexInfant","LD_PC1","W_PC1","W_PC2"
"1",1,0,-0.0885403994950111,-0.362864853163002,-0.00605504419277846
"2",0,0,-0.230706084870229,-0.691364276047364,-0.00891047939947631
"3",0,0,0.0108543192000513,-0.186617814121803,0.0346711016532324
"4",1,0,-0.0932049864248526,-0.360959820438026,0.00462709256108363
"5",0,1,-0.254168467098772,-0.718331123116722,-0.014134283322242
"6",0,1,-0.151448025323276,-0.54824085395742,0.0118483224101705
"7",1,0,0.0110631338314582,-0.0781743951753406,0.140446628189737
"8",1,0,0.0230365874835467,-0.0795076619045818,0.0520910426306829
"9",0,0,-0.0637654174943389,-0.364161571198219,0.00889315563686375
"10",1,0,0.0416255681508407,0.0531341919908293,0.094518477436112
"11",1,0,-0.0166246545767148,-0.271045236883357,0.0710948898131328
"12",1,0,-0.113348829402094,-0.486307993601389,0.00992845332915881
"13",1,0,-0.0440654678571896,-0.33327150274462,0.0284246989980515
"14",1,0,0.00751669970060439,-0.169531528140449,0.0213214087134484
"15",1,0,-0.0823543981616328,-0.414001462368334,0.0523640810731147
"16",1,0,-0.0252342246520783,-0.191452699341815,0.0496887328448402
"17",0,1,-0.218739815047273,-0.627498934942005,0.0329260497748688
"18",1,0,-0.114236616082277,-0.439223547627059,-0.00122698853549706
"19",0,0,-0.203011112632924,-0.660124374886086,0.0163772766096232
"20",0,0,-0.119121914062539,-0.51280151783489,-0.00904847818358265
"21",1,0,-0.216532244765827,-0.67174488671058,0.00095274956823694
"22",1,1,-0.199718837458901,-0.695244912573265,0.0153439046000635
"23",1,0,0.0540166510657429,0.135995088677524,-0.0139989011410757
"24",0,0,0.0228015087748618,-0.0769474619329432,-0.00249507784669931
"25",1,0,0.118668873587216,0.387163868540253,-0.0187169537489956
"26",1,0,0.046942863052181,0.111241786150348,0.0365677771675401
"27",1,0,0.078131741265784,0.186568079155459,0.0315350023909004
"28",1,0,0.0726199993913016,0.107150263068429,0.0462588632904195
"29",1,0,0.111352823035837,0.127311753419486,0.0268022943848897
"30",1,0,0.0489225384540742,0.0423523980768916,-0.0429847612878329
"31",1,0,0.0861267638659402,0.19290130753097,0.0595775515090808
"32",1,0,0.217221149927519,0.871860330448654,0.0850599337939538
"33",1,0,0.184216066618005,0.577158728697889,0.0104495014258143
"34",1,0,0.21322363862744,1.11117640762174,-0.0495576645805692
"35",1,0,0.237554727288021,0.975701995130034,0.0976705934073413
"36",0,0,-0.0850130456123029,-0.393548382251998,-0.0285511371926848
"37",1,0,0.0569222736441114,0.451788351263584,-0.00114252085479382
"38",0,0,-0.0963003433864823,-0.348894891173243,-0.0169164053612103
"39",1,0,0.0602289164763993,0.0644694865359462,0.00586351054859447
"40",0,0,-0.211430948325026,-0.577347162027567,-0.00504949137813047
"41",0,0,-0.10871050654953,-0.465257941947405,-0.0135642158238639
"42",1,0,0.0290065903563858,0.030631002250866,0.0211669749619454
"43",0,1,-0.3792594023811,-0.869668752072881,-0.0141214131232903
"44",0,1,-0.418901564193216,-0.899884201808572,-0.0193496539862603
"45",0,1,-0.416242916742546,-0.902731101133441,-0.0114144789637426
"46",0,1,-0.18088759425379,-0.715084905539395,-0.00045940524057645
"47",0,0,-0.068631635226455,-0.25796588459416,-0.0505971491392884
"48",0,0,-0.0730539596184791,-0.425930326000516,0.0213734875978355
"49",0,1,-0.266343551553135,-0.767088783654984,-0.0172666431122992
"50",0,0,0.015713353103035,0.0111837149902313,0.00931271086808844
"51",0,1,-0.0061869829864278,-0.275518113179975,0.0216539275638007
"52",0,0,-0.157850025117193,-0.601437403654297,-0.00329187643553663
"53",1,0,-0.0613418487523537,-0.323976642313679,-0.0223382886960832
"54",1,0,-0.074836716807979,-0.399234992394343,-0.00127900890170108
"55",0,0,-0.159188888966601,-0.50642159812145,-0.0129460149279021
"56",0,0,-0.0230266543706324,-0.191360252523101,0.039139855409744
"57",0,0,-0.0998539613464685,-0.442308532681116,-0.00241953335152647
"58",0,0,-0.056012657432,-0.268690349222243,-0.020578677951875
"59",0,1,-0.362877991995253,-0.852281254293866,-0.0166883416138923
"60",0,0,-0.0225755772014082,-0.283050216535199,0.00513597735260465
"61",0,0,-0.102505424968006,-0.470756679797315,0.00207012508471546
"62",0,0,-0.022784391832815,-0.218033202677716,-0.0324134823908138
"63",1,0,0.00354545247780436,-0.14463668534458,-0.00184273825515487
"64",0,0,-0.135935321369466,-0.517581811027504,-0.0185789606324751
"65",0,0,-0.0123920645679518,-0.287647272464726,0.0200652083028793
"66",0,0,-0.0741768250073478,-0.392292368250689,-0.0282838468859317
"67",1,0,0.0551204362064659,0.0942454335354343,0.0686977494461817
"68",1,0,0.117341906156821,0.485438961138867,0.18544943406387
"69",1,0,-0.0524590394720138,-0.345263884540076,0.0178766292309748
"70",0,1,-0.283835930908838,-0.77779885616833,-0.00893006321144298
"71",1,0,0.0316652378070559,-0.0853515425198454,0.0846462183366628
"72",0,0,-0.154538669695024,-0.547892094082989,0.000714250104899415
"73",1,0,0.101620387571604,0.463000946803612,0.0929171090562216
"74",1,0,0.0870145505461239,0.402791787429682,0.0603730260686736
"75",1,0,0.0991514745041955,0.319661804429995,0.00112165342360034
"76",1,0,0.100967679600106,0.204742135526785,-0.0078034442901124
"77",0,0,0.0949976767272667,0.120775523707693,0.0638146052250068
"78",1,0,0.0978651388093437,0.100368960357944,0.0537167992439033
"79",1,0,0.0338728080885019,-0.0589080315581902,0.0803399612374612
"80",1,0,0.116670117937177,0.316059614621588,0.0277778138888615
"81",0,0,0.0613327016171223,0.131429930794849,0.0295727425252475
"82",1,0,0.143254121204627,0.848415889646855,0.28426269758901
"83",1,0,0.0130547056523649,0.180452661817138,0.0495351287751762
"84",1,0,0.0994128172901586,0.535013173248987,0.255855162000543
"85",1,0,0.0681976749992774,0.203395290614042,0.0903547912215813
"86",1,0,0.0788107133145609,0.453557914718154,0.218568312181344
"87",1,0,0.111367190694101,0.408956251170237,0.0663527036039813
"88",1,0,0.0513580036150728,0.0296252248648975,0.0417102717086433
"89",0,0,-0.0832565525000812,-0.355798179555399,0.00711211598739504
"90",1,0,0.0688503829707761,0.142548645103272,0.117463304940692
"91",1,0,0.040293888130565,-0.0212522839907891,0.0206221491789012
"92",1,0,0.0453880007422338,-0.0852635768111901,0.0399965018457515
"93",1,0,0.0965190911308035,0.31485672703132,0.110389782708496
"94",1,0,0.135501361142288,0.495748819965269,0.0555561696151617
"95",1,0,0.234027373405313,0.756293412234163,0.0912952269327387
"96",1,0,0.197043859043867,0.85651056828715,0.117780687431753
"97",0,0,0.0272357295858993,-0.131069044135374,0.0576652293452722
"98",0,0,-0.063321524154247,-0.354405012526417,0.00126625919053445
"99",0,0,-0.066424064945009,-0.35494022014708,0.0235327468483119
"100",1,0,-0.0606628767035769,-0.288034622511041,-0.0333604989164341
"101",0,1,-0.22207743454672,-0.683303128684297,-0.00912067956520256
"102",1,0,0.0374192422193557,0.00572090996078167,0.0365286437638401
"103",1,0,0.0256808672759521,0.0496802427461957,0.101028518551825
"104",1,0,0.00885556355001229,-0.121104496253892,-0.00138346185156549
"105",1,0,0.103835141682183,0.389695019290177,0.0182617342967317
"106",1,0,0.00153951299863294,-0.115905089414755,0.0330280419355313
"107",1,0,0.0349694094000925,-0.0390208660536658,0.0713802309211063
"108",1,0,-0.0263380097928013,-0.192687652514593,0.0355181289208007
"109",0,0,-0.0228106559100931,-0.22966656388583,0.041830633449493
"110",0,0,-0.0827673148345656,-0.533480980919422,0.0244082938808114
"111",0,0,-0.0332029831749564,-0.326383135403593,-0.00748070639974491
"112",0,0,-0.0819105048215409,-0.448429033800874,0.0359929891940653
"113",0,1,-0.13482435239961,-0.56809541564863,-0.00671541254702154
"114",0,0,-0.11821504713421,-0.508405486848268,0.0546042406423333
"115",1,0,0.0137289651112607,-0.155577719205037,0.0060207645135976
"116",1,0,0.00333663784639747,-0.274099202717368,0.0203929682803288
"117",1,0,-0.0471680086479516,-0.248317326070954,0.0297597805359574
"118",1,0,-0.113132830941554,-0.494240897056471,0.0565870475866805
"119",0,0,0.0429453517521029,0.0566058968447217,0.0622929213985163
"120",0,0,-0.165602785179532,-0.649451652741265,-0.00505174932122939
"121",0,0,-0.0750455314393858,-0.469979952676014,0.0194938876069508
"122",0,1,-0.186857597126629,-0.66036495047544,0.00256772018042805
"123",1,0,0.00377334735735695,-0.0742418549096594,0.0415932954108871
"124",0,0,-0.218967709926826,-0.704581428739538,-0.00346324583258437
"125",0,1,-0.216081167596603,-0.74170986037615,-0.00299974613731632
"126",0,1,-0.340963288247525,-0.865847847629608,-0.00514908879188577
"127",0,1,-0.20568884033174,-0.67625155208753,-0.0128115994921107
